architecture,feature_dim,learning_rate,epoch,train_loss,val_loss,avg_latency,fitness
mobilenet_v3_large,960,0.0001,1,88.16240871653838,90.9972187389027,0.009423093362288,0.2029981073119209
mobilenet_v3_large,960,0.0001,8,23.14587204877068,25.091131817210805,0.0076355067166415,0.2029981073119209
mobilenet_v3_large,960,0.0001,7,23.544389163746555,25.501832701943137,0.0098635283383456,0.2029981073119209
mobilenet_v3_large,960,0.0001,6,25.0326478397145,24.69934506849809,0.0084766149520874,0.2029981073119209
mobilenet_v3_large,960,0.0001,5,25.630904321109547,34.74878787994385,0.0065794858065518,0.2029981073119209
mobilenet_v3_large,960,0.0001,4,31.195361776912915,75.62370473688298,0.0095999565991488,0.2029981073119209
mobilenet_v3_large,960,0.0001,3,48.232592190013214,85.76156096024947,0.0090214989402077,0.2029981073119209
mobilenet_v3_large,960,0.0001,2,70.51534877103917,90.83331819014116,0.0107703750783746,0.2029981073119209
mobilenet_v3_large,960,0.0001,9,23.51286145378561,23.365480596368965,0.008930813182484,0.2029981073119209
mobilenet_v3_large,960,0.0001,10,23.017175214430864,24.79211989316073,0.0081880092620849,0.2029981073119209
mnasnet1_3,1280,0.001,10,7.292216960121603,47.41295329007235,0.0047892873937433,0.2270742594922854
mnasnet1_3,1280,0.001,9,7.927524504942053,52.91987297751687,0.0069618333469737,0.2270742594922854
mnasnet1_3,1280,0.001,8,8.98937126047471,56.83264350891113,0.0065622438083995,0.2270742594922854
mnasnet1_3,1280,0.001,1,34.59004243962905,82.41237917813388,0.0093555450439453,0.2270742594922854
mnasnet1_3,1280,0.001,7,8.970894920124728,67.56964302062988,0.0070802406831221,0.2270742594922854
mnasnet1_3,1280,0.001,6,9.94951841690961,69.64289751919833,0.0077804110266945,0.2270742594922854
mnasnet1_3,1280,0.001,5,10.591423219792985,72.92129412564364,0.0068362626162442,0.2270742594922854
mnasnet1_3,1280,0.001,4,12.760077869190887,71.50514290549539,0.0063869628039273,0.2270742594922854
mnasnet1_3,1280,0.001,2,18.223305230982163,84.21319510719992,0.0057814446362582,0.2270742594922854
mnasnet1_3,1280,0.001,3,14.232422593060662,77.01475628939542,0.0066936124454845,0.2270742594922854
densenet121,1024,0.01,5,19.66130010941449,18.08932369405573,0.0175772146745161,0.2305869853176502
densenet121,1024,0.01,1,31.913915364882524,33.776160803708166,0.0185536037791859,0.2305869853176502
densenet121,1024,0.01,3,21.69660675946404,21.1549374406988,0.0156031847000122,0.2305869853176502
densenet121,1024,0.01,4,21.256551865970387,19.848703557794742,0.0172023989937522,0.2305869853176502
densenet121,1024,0.01,10,13.732335573084214,13.883910092440518,0.0166082165457985,0.2305869853176502
densenet121,1024,0.01,7,17.149144150229063,15.31982759995894,0.018047191879966,0.2305869853176502
densenet121,1024,0.01,8,15.091607464061063,16.83390825445002,0.0175545649095015,0.2305869853176502
densenet121,1024,0.01,9,14.211001889845903,12.282553781162608,0.0201416123997081,0.2305869853176502
densenet121,1024,0.01,6,19.2297732072718,25.50312406366521,0.018982323733243,0.2305869853176502
densenet121,1024,0.01,2,22.57160214816823,20.723135514692828,0.0194621736353093,0.2305869853176502
regnet_y_800mf,784,0.0001,9,16.70220459208769,17.934615872123025,0.0128035762093283,0.2341477232206016
regnet_y_800mf,784,0.0001,1,80.74383912927964,55.572975332086735,0.0129037336869673,0.2341477232206016
regnet_y_800mf,784,0.0001,2,35.99943582871381,24.02843614058061,0.0086942369287664,0.2341477232206016
